REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBMCCPH1",2060,404.020070711153
"REGION1","SEBMSTPH3",2030,1231.85630490766
"REGION1","SEBMSTPH3",2032,127.568312641841
"REGION1","SEBMSTPH3",2033,216.240563394867
"REGION1","SEBMSTPH3",2034,281.023127111034
"REGION1","SEBMSTPH3",2035,2238.30189645537
"REGION1","SEBMSTPH3",2040,1197.50670369083
"REGION1","SEBMSTPH3",2041,3743.47692830627
"REGION1","SEBMSTPH3",2043,457.976850850232
"REGION1","SEBMSTPH3",2045,484.717371270861
"REGION1","SEGOCVPH2",2024,0.866531170220798
"REGION1","SEGOCVPH2",2025,0.217418846795781
"REGION1","SEGOCVPH2",2026,0.862985740418656
"REGION1","SEGOCVPH2",2027,0.861744714662128
"REGION1","SEGOCVPH2",2028,0.860478479460736
"REGION1","SEGOCVPH2",2029,0.859224279852257
"REGION1","SEGOCVPH2",2030,0.857912147827439
"REGION1","SEGOCVPH2",2031,0.860334738060078
"REGION1","SEGOCVPH2",2032,0.861258145526193
"REGION1","SEGOCVPH2",2033,0.862099411056299
"REGION1","SEGOCVPH2",2034,0.863024067922774
"REGION1","SEGOCVPH2",2035,0.86386116534884
"REGION1","SEGOCVPH2",2036,0.864742194524987
"REGION1","SEGOCVPH2",2037,0.865675427981319
"REGION1","SEGOCVPH2",2038,0.866506076591299
"REGION1","SEGOCVPH2",2039,0.867440304852122
"REGION1","SEGOCVPH2",2040,0.868266503034384
"REGION1","SEGOCVPH2",2041,0.65782552206946
"REGION1","SEGOCVPH2",2042,0.658381814359944
"REGION1","SEGOCVPH2",2043,0.658912207135742
"REGION1","SEGOCVPH2",2044,0.659489568131304
"REGION1","SEGOCVPH2",2045,0.660043187981669
"REGION1","SEGOCVPH2",2046,0.2428066804574
"REGION1","SEGOCVPH2",2047,0.242984551880722
"REGION1","SEGOCVPH2",2048,0.243211844088975
"REGION1","SEGOCVPH2",2049,0.243388227561946
